pressure,time
1.3E-09,2026-01-06 09:59:39
1.3E-09,2026-01-06 09:59:40
1.3E-09,2026-01-06 09:59:41
1.3E-09,2026-01-06 09:59:42
1.3E-09,2026-01-06 09:59:43
1.3E-09,2026-01-06 09:59:44
1.3E-09,2026-01-06 09:59:45
1.3E-09,2026-01-06 09:59:46
1.3E-09,2026-01-06 09:59:47
1.3E-09,2026-01-06 09:59:48
1.3E-09,2026-01-06 09:59:49
1.3E-09,2026-01-06 09:59:50
1.3E-09,2026-01-06 09:59:51
1.3E-09,2026-01-06 09:59:52
1.3E-09,2026-01-06 09:59:53
1.3E-09,2026-01-06 09:59:54
1.3E-09,2026-01-06 09:59:55
1.3E-09,2026-01-06 10:11:48
1.3E-09,2026-01-06 10:11:49
1.3E-09,2026-01-06 10:11:50
1.3E-09,2026-01-06 10:11:51
1.3E-09,2026-01-06 10:11:52
1.3E-09,2026-01-06 10:11:53
1.3E-09,2026-01-06 10:11:54
1.3E-09,2026-01-06 10:12:39
1.3E-09,2026-01-06 10:12:40
1.3E-09,2026-01-06 10:12:41
1.3E-09,2026-01-06 10:12:42
1.3E-09,2026-01-06 10:12:43
1.3E-09,2026-01-06 10:12:44
1.3E-09,2026-01-06 10:12:45
1.3E-09,2026-01-06 10:12:46
1.3E-09,2026-01-06 10:12:47
1.3E-09,2026-01-06 10:12:48
1.3E-09,2026-01-06 10:12:49
1.3E-09,2026-01-06 10:12:50
1.3E-09,2026-01-06 10:12:51
1.3E-09,2026-01-06 10:14:39
1.3E-09,2026-01-06 10:14:40
1.3E-09,2026-01-06 10:14:41
1.3E-09,2026-01-06 10:14:42
